epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1.809372,0.453488,0.632702,1.41966,0.407407,0.704189
2,1.7382,0.604651,0.787809,1.323035,0.444444,0.710472
3,1.628001,0.674419,0.867425,1.28226,0.592593,0.772533
4,1.249826,0.732558,0.90172,1.284159,0.592593,0.814877
5,0.988198,0.769767,0.926853,1.21182,0.62963,0.842202
6,0.875951,0.788372,0.933256,1.22748,0.703704,0.84526
7,0.774848,0.8,0.945428,1.148347,0.722222,0.877846
8,0.756942,0.809302,0.953739,1.255737,0.685185,0.865619
9,0.693924,0.823256,0.956434,1.245598,0.685185,0.878168
10,0.71592,0.839535,0.962051,1.118194,0.740741,0.895606
11,0.485151,0.851163,0.973551,1.166203,0.722222,0.902363
12,0.571494,0.846512,0.968253,1.274421,0.722222,0.884367
13,0.417327,0.872093,0.979066,1.328759,0.685185,0.900909
14,0.612115,0.865116,0.970345,1.350871,0.685185,0.911611
15,0.409488,0.881395,0.978103,1.350413,0.666667,0.899863
16,0.341885,0.9,0.986934,1.128132,0.740741,0.914904
17,0.363194,0.888372,0.986446,1.377414,0.703704,0.910041
18,0.299979,0.909302,0.987407,1.822773,0.666667,0.883692
19,0.293192,0.911628,0.989861,1.471659,0.703704,0.903473
20,0.265413,0.918605,0.991392,1.449051,0.722222,0.892742
21,0.185078,0.932558,0.992971,1.44925,0.722222,0.90898
22,0.217543,0.92093,0.99344,1.537931,0.722222,0.895306
23,0.219609,0.927907,0.993725,1.534802,0.703704,0.90347
24,0.153989,0.934884,0.995763,1.487107,0.703704,0.894442
25,0.190564,0.930233,0.994047,1.304639,0.703704,0.914189
26,0.111474,0.951163,0.99698,1.293944,0.777778,0.895719
27,0.141341,0.951163,0.996552,1.489648,0.703704,0.901202
28,0.122845,0.948837,0.997046,1.483947,0.703704,0.888851
29,0.114449,0.953488,0.996738,1.709514,0.685185,0.870708
30,0.158349,0.944186,0.99664,1.520018,0.703704,0.901473
31,0.136235,0.94186,0.996776,1.299016,0.740741,0.926349
32,0.09897,0.95814,0.9974,1.612392,0.666667,0.896271
33,0.092403,0.965116,0.99761,1.507065,0.722222,0.907079
34,0.110849,0.951163,0.99727,1.560072,0.722222,0.884239
35,0.116788,0.953488,0.997116,1.618971,0.740741,0.894685
36,0.116225,0.951163,0.997275,1.669696,0.685185,0.88104
37,0.092802,0.965116,0.997583,1.5177,0.740741,0.886164
38,0.108683,0.955814,0.997801,1.614925,0.703704,0.890878
39,0.088457,0.965116,0.998091,1.675825,0.703704,0.881777
40,0.079229,0.965116,0.998354,1.632122,0.722222,0.894018
41,0.077003,0.969767,0.998183,1.592271,0.703704,0.8993
42,0.0911,0.960465,0.997961,1.424267,0.759259,0.91243
43,0.092449,0.960465,0.998214,1.538811,0.666667,0.881714
44,0.060869,0.967442,0.998694,1.537602,0.703704,0.907657
45,0.117808,0.944186,0.997091,1.784617,0.722222,0.875049
