epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1.567963,0.52093,0.73677,1.411485,0.388889,0.776142
2,1.210711,0.753488,0.915427,1.165559,0.592593,0.859068
3,1.115818,0.783721,0.944102,1.002713,0.666667,0.881594
4,1.051091,0.834884,0.960279,0.945023,0.703704,0.895612
5,0.987762,0.844186,0.972734,0.913574,0.703704,0.905237
6,0.966085,0.872093,0.973782,0.916542,0.703704,0.903249
7,0.950981,0.87907,0.978643,0.913944,0.703704,0.915704
8,0.923286,0.87907,0.981626,0.906275,0.722222,0.921652
9,0.925159,0.883721,0.983784,0.893854,0.703704,0.920428
10,0.892849,0.895349,0.988031,0.905208,0.740741,0.920444
11,0.882734,0.904651,0.988406,0.898397,0.722222,0.924342
12,0.86417,0.906977,0.988771,0.900327,0.722222,0.924268
13,0.839562,0.92093,0.992216,0.893494,0.740741,0.92882
14,0.859598,0.916279,0.989691,0.890276,0.740741,0.928673
15,0.828239,0.937209,0.992328,0.900551,0.740741,0.925639
16,0.811028,0.932558,0.993429,0.839413,0.740741,0.935728
17,0.7947,0.944186,0.99509,0.85075,0.740741,0.932045
18,0.79941,0.944186,0.995267,0.845666,0.759259,0.93257
19,0.774728,0.951163,0.997859,0.826013,0.759259,0.922808
20,0.782175,0.944186,0.995811,0.818169,0.740741,0.923534
21,0.775825,0.955814,0.996309,0.81242,0.740741,0.92569
22,0.774327,0.948837,0.996581,0.825254,0.740741,0.923795
23,0.775034,0.953488,0.995847,0.804671,0.759259,0.924683
24,0.754519,0.962791,0.99802,0.783578,0.759259,0.928365
25,0.75529,0.962791,0.998577,0.792547,0.777778,0.93254
26,0.752794,0.955814,0.998163,0.765396,0.759259,0.933279
27,0.755004,0.95814,0.998135,0.816835,0.777778,0.930304
28,0.751926,0.965116,0.99861,0.795418,0.759259,0.927778
29,0.749734,0.962791,0.998752,0.804698,0.759259,0.928539
30,0.746102,0.965116,0.998288,0.798715,0.759259,0.930204
31,0.744776,0.969767,0.998715,0.795875,0.777778,0.929797
32,0.73813,0.969767,0.998623,0.800557,0.796296,0.932997
33,0.74139,0.965116,0.998973,0.774359,0.777778,0.931498
34,0.739388,0.972093,0.99896,0.780217,0.777778,0.929659
35,0.734675,0.974419,0.999216,0.763583,0.759259,0.932508
36,0.735277,0.976744,0.998891,0.770752,0.777778,0.931156
37,0.732448,0.97907,0.998696,0.795272,0.777778,0.932088
38,0.731017,0.976744,0.999312,0.772952,0.777778,0.932295
39,0.729626,0.97907,0.999255,0.780979,0.759259,0.930171
40,0.733435,0.981395,0.999064,0.758833,0.777778,0.93235
41,0.730251,0.981395,0.998959,0.795868,0.777778,0.928517
42,0.731028,0.97907,0.998904,0.79721,0.777778,0.929966
43,0.727211,0.97907,0.999383,0.763277,0.777778,0.928233
44,0.729717,0.974419,0.999258,0.771696,0.759259,0.93116
45,0.731109,0.976744,0.998918,0.793118,0.759259,0.929188
46,0.726,0.981395,0.999212,0.758575,0.777778,0.931681
47,0.728598,0.974419,0.999084,0.797111,0.759259,0.929491
48,0.724019,0.983721,0.999155,0.760813,0.796296,0.932343
49,0.72974,0.97907,0.999348,0.783317,0.777778,0.931918
50,0.728203,0.97907,0.999299,0.80065,0.777778,0.926719
51,0.728254,0.981395,0.999297,0.765114,0.777778,0.928643
