epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1.910167,0.643266,0.492238,1.00549,0.66129,0.589141
2,1.775942,0.648997,0.552315,1.229703,0.66129,0.71356
3,1.324751,0.744986,0.740668,1.185464,0.669355,0.762195
4,0.941492,0.810888,0.848324,1.041096,0.717742,0.823606
5,0.747949,0.833811,0.892316,0.906395,0.758065,0.842044
6,0.658709,0.868195,0.905735,0.868505,0.758065,0.858014
7,0.581893,0.873926,0.930557,0.818059,0.814516,0.87108
8,0.612152,0.87106,0.918014,0.727106,0.830645,0.88313
9,0.533016,0.889685,0.927489,0.683191,0.83871,0.88734
10,0.501925,0.893983,0.930388,0.692187,0.83871,0.892712
11,0.451448,0.904011,0.938556,0.663614,0.862903,0.902003
12,0.500766,0.906877,0.942024,0.589468,0.870968,0.897067
13,0.506093,0.904011,0.929796,0.767053,0.814516,0.891115
14,0.437168,0.909742,0.94382,0.687376,0.854839,0.903455
15,0.424919,0.909742,0.943893,0.561448,0.870968,0.917247
16,0.445181,0.916905,0.936268,0.530522,0.895161,0.926249
17,0.384956,0.919771,0.942608,0.519654,0.895161,0.930749
18,0.344579,0.928367,0.953989,0.501425,0.879032,0.938589
19,0.51525,0.905444,0.936692,0.579326,0.870968,0.93583
20,0.441231,0.911175,0.957649,0.497993,0.903226,0.93554
21,0.405477,0.924069,0.956322,0.619128,0.870968,0.929443
22,0.338315,0.934097,0.957206,0.564623,0.862903,0.934669
23,0.399591,0.922636,0.948314,0.455156,0.903226,0.933217
24,0.351757,0.924069,0.946988,0.546245,0.879032,0.941928
25,0.384657,0.921203,0.943013,0.456359,0.91129,0.932346
26,0.329776,0.936963,0.955657,0.66179,0.870968,0.894599
27,0.381421,0.924069,0.948164,0.526156,0.895161,0.942073
28,0.33449,0.938395,0.949093,0.44547,0.91129,0.930023
29,0.344035,0.934097,0.957074,0.517137,0.895161,0.932927
30,0.309075,0.942693,0.961158,0.559551,0.879032,0.921458
31,0.247146,0.948424,0.97227,0.626084,0.870968,0.936266
32,0.276802,0.945559,0.958227,0.45797,0.903226,0.934379
33,0.260382,0.949857,0.964768,0.540358,0.887097,0.931475
34,0.245456,0.955587,0.967024,0.531162,0.887097,0.923055
35,0.267562,0.944126,0.962266,0.539825,0.887097,0.932927
36,0.233645,0.951289,0.96361,0.552336,0.895161,0.917538
37,0.23139,0.944126,0.974371,0.561566,0.895161,0.924361
38,0.24033,0.952722,0.974089,0.571148,0.887097,0.929007
39,0.233,0.951289,0.968592,0.457732,0.91129,0.936121
40,0.226666,0.951289,0.969125,0.401553,0.919355,0.937718
41,0.220302,0.955587,0.963697,0.582042,0.879032,0.911585
42,0.234593,0.955587,0.964107,0.49709,0.895161,0.923926
43,0.219187,0.955587,0.971805,0.558395,0.879032,0.920006
44,0.225135,0.954155,0.973273,0.490682,0.903226,0.910424
45,0.211507,0.958453,0.967106,0.592032,0.870968,0.916086
46,0.204986,0.961318,0.959613,0.585832,0.887097,0.893438
47,0.198447,0.959885,0.96938,0.575164,0.895161,0.905052
48,0.187688,0.962751,0.973665,0.55262,0.879032,0.899535
49,0.22396,0.955587,0.97397,0.493394,0.903226,0.905197
50,0.209419,0.958453,0.974476,0.479494,0.887097,0.925958
