epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.76531,0.697674,0.703329,0.554216,0.71134,0.86553
2,0.564241,0.828165,0.896556,0.376361,0.824742,0.926136
3,0.489427,0.892765,0.934507,0.263576,0.896907,0.972538
4,0.465267,0.909561,0.945787,0.275078,0.907216,0.980114
5,0.446317,0.921189,0.939115,0.214591,0.948454,0.953598
6,0.463498,0.908269,0.934548,0.257434,0.938144,0.963778
7,0.441887,0.922481,0.929373,0.222601,0.938144,0.977273
8,0.425852,0.928941,0.952912,0.239307,0.938144,0.961884
9,0.431823,0.927649,0.941165,0.206078,0.948454,0.952415
10,0.429999,0.925065,0.943103,0.191794,0.948454,0.949337
11,0.394984,0.944444,0.953957,0.247769,0.927835,0.945786
12,0.383873,0.949612,0.958865,0.188202,0.948454,0.951468
13,0.374036,0.95478,0.962031,0.179122,0.948454,0.937027
14,0.377157,0.952196,0.961923,0.206258,0.938144,0.89536
15,0.366205,0.957364,0.959562,0.219425,0.948454,0.902462
16,0.358001,0.959948,0.961311,0.203755,0.948454,0.898201
17,0.351785,0.96124,0.966742,0.20416,0.948454,0.908854
18,0.345557,0.965116,0.970957,0.146467,0.969072,0.92732
19,0.360239,0.958656,0.972117,0.201349,0.948454,0.939394
20,0.34644,0.963824,0.972617,0.150703,0.969072,0.943892
21,0.34253,0.966408,0.973114,0.220324,0.938144,0.954782
22,0.354129,0.959948,0.974386,0.218576,0.938144,0.960938
23,0.344432,0.966408,0.975253,0.215411,0.938144,0.94697
24,0.349442,0.963824,0.973199,0.174549,0.958763,0.965199
25,0.351187,0.963824,0.970642,0.230406,0.938144,0.962121
26,0.336923,0.968992,0.977618,0.172732,0.958763,0.952415
27,0.341454,0.966408,0.977507,0.170528,0.958763,0.964725
28,0.340971,0.9677,0.972484,0.186304,0.948454,0.956439
29,0.341814,0.9677,0.97456,0.241814,0.938144,0.959517
30,0.342085,0.966408,0.974864,0.20994,0.948454,0.965199
31,0.337442,0.9677,0.975279,0.195797,0.948454,0.968513
32,0.334601,0.968992,0.976739,0.241966,0.927835,0.968987
