epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.837624,0.651163,0.748263,0.631087,0.659794,0.878551
2,0.62122,0.737726,0.849587,0.545449,0.680412,0.901042
3,0.548189,0.803618,0.87969,0.409004,0.793814,0.913352
4,0.506397,0.847545,0.904356,0.336142,0.845361,0.931818
5,0.480881,0.869509,0.926222,0.324296,0.886598,0.92661
6,0.47686,0.879845,0.932624,0.305959,0.865979,0.933002
7,0.460097,0.894057,0.947092,0.310898,0.886598,0.946023
8,0.455643,0.900517,0.94519,0.31802,0.876289,0.949337
9,0.451878,0.900517,0.946599,0.281197,0.907216,0.964252
10,0.444654,0.905685,0.952118,0.272306,0.886598,0.973958
11,0.429375,0.913437,0.956515,0.246418,0.917526,0.968987
12,0.435194,0.912145,0.953887,0.289135,0.907216,0.973722
13,0.414429,0.919897,0.960248,0.272709,0.886598,0.951705
14,0.412726,0.925065,0.961463,0.25889,0.907216,0.957386
15,0.401113,0.934109,0.954072,0.245395,0.917526,0.959754
16,0.409278,0.931525,0.971924,0.27047,0.927835,0.961411
17,0.412742,0.927649,0.966357,0.252662,0.917526,0.956439
18,0.399732,0.940568,0.961404,0.235102,0.938144,0.96946
19,0.389174,0.940568,0.967954,0.253305,0.927835,0.961648
20,0.396882,0.935401,0.969956,0.279718,0.917526,0.958097
21,0.383322,0.943152,0.971991,0.238423,0.927835,0.958807
22,0.369607,0.950904,0.974986,0.218451,0.938144,0.951468
23,0.357154,0.952196,0.969667,0.209692,0.938144,0.971354
24,0.369076,0.953488,0.973774,0.267132,0.907216,0.972064
25,0.370661,0.952196,0.980172,0.241564,0.927835,0.978456
26,0.359112,0.953488,0.975735,0.249695,0.927835,0.966619
27,0.357343,0.957364,0.979253,0.21822,0.938144,0.96804
28,0.352876,0.957364,0.978,0.279398,0.917526,0.966383
29,0.36571,0.950904,0.975668,0.286562,0.917526,0.975852
30,0.350635,0.959948,0.982222,0.260004,0.907216,0.959517
31,0.349142,0.956072,0.982507,0.248299,0.927835,0.91714
32,0.349904,0.957364,0.980632,0.298264,0.907216,0.930634
33,0.346465,0.96124,0.980346,0.268435,0.927835,0.926373
34,0.347672,0.96124,0.982537,0.2638,0.927835,0.952888
35,0.341479,0.962532,0.976039,0.284261,0.917526,0.941998
36,0.333749,0.966408,0.982189,0.305629,0.917526,0.95928
37,0.326231,0.968992,0.980706,0.269846,0.927835,0.960227
