epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.832123,0.657623,0.753149,0.629576,0.659794,0.846117
2,0.598361,0.751938,0.860726,0.516913,0.731959,0.901515
3,0.527277,0.826873,0.895326,0.380193,0.814433,0.920928
4,0.492623,0.854005,0.923201,0.317051,0.876289,0.943182
5,0.479658,0.868217,0.929796,0.30456,0.876289,0.951705
6,0.47552,0.878553,0.94122,0.290146,0.896907,0.962831
7,0.454434,0.896641,0.954039,0.293679,0.896907,0.964725
8,0.445123,0.904393,0.946221,0.273639,0.896907,0.966383
9,0.425137,0.913437,0.95948,0.288309,0.876289,0.972064
10,0.429737,0.916021,0.962431,0.271959,0.886598,0.973958
11,0.430823,0.917313,0.964677,0.263514,0.896907,0.975852
12,0.399509,0.928941,0.97297,0.279749,0.886598,0.976799
13,0.405056,0.923773,0.973144,0.316351,0.896907,0.978693
14,0.404709,0.930233,0.97082,0.299355,0.896907,0.962121
15,0.385081,0.936693,0.981088,0.28033,0.896907,0.971828
16,0.389773,0.932817,0.97856,0.287656,0.907216,0.964252
17,0.37638,0.935401,0.98075,0.284466,0.907216,0.976562
18,0.375175,0.940568,0.981888,0.268165,0.896907,0.976326
19,0.368627,0.944444,0.981232,0.234303,0.927835,0.977983
20,0.383541,0.94186,0.973296,0.254823,0.927835,0.96946
21,0.383028,0.94186,0.975902,0.234152,0.927835,0.977273
22,0.371701,0.945736,0.977948,0.250996,0.927835,0.975142
23,0.372151,0.943152,0.975412,0.264649,0.907216,0.968987
24,0.354273,0.952196,0.975705,0.237405,0.938144,0.980587
25,0.367143,0.945736,0.981818,0.236469,0.917526,0.979167
26,0.371786,0.94832,0.976817,0.240854,0.927835,0.952652
27,0.366825,0.945736,0.980183,0.247745,0.927835,0.952178
28,0.35203,0.950904,0.987048,0.216291,0.927835,0.976089
29,0.360291,0.945736,0.977455,0.194306,0.938144,0.958097
30,0.356091,0.950904,0.987263,0.200859,0.938144,0.980587
31,0.345874,0.958656,0.986944,0.255461,0.907216,0.979167
32,0.345599,0.95478,0.985021,0.234954,0.927835,0.976799
33,0.345887,0.95478,0.987215,0.240422,0.917526,0.972064
34,0.347517,0.95478,0.988153,0.200782,0.927835,0.977036
35,0.35053,0.95478,0.986199,0.198545,0.938144,0.98035
36,0.342191,0.956072,0.988197,0.202446,0.938144,0.96946
37,0.342579,0.956072,0.985173,0.192034,0.938144,0.97893
38,0.342724,0.957364,0.989832,0.195438,0.938144,0.980824
39,0.33436,0.96124,0.988212,0.218084,0.938144,0.97822
40,0.339811,0.957364,0.986107,0.195894,0.958763,0.978693
41,0.341313,0.956072,0.987893,0.232306,0.927835,0.977273
42,0.340618,0.957364,0.987078,0.20479,0.948454,0.980587
43,0.336616,0.958656,0.987968,0.239569,0.927835,0.973485
44,0.34547,0.953488,0.988031,0.222265,0.927835,0.979877
45,0.340982,0.958656,0.990492,0.20194,0.938144,0.97964
46,0.338568,0.957364,0.987552,0.205517,0.938144,0.977746
47,0.339922,0.957364,0.987949,0.24318,0.927835,0.977746
48,0.338706,0.958656,0.990318,0.22976,0.927835,0.976562
49,0.333536,0.962532,0.990699,0.207889,0.948454,0.981061
50,0.339686,0.957364,0.988575,0.196228,0.958763,0.982481
